INFO  - 2016-05-13 10:57:59.314; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.314; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.314; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.314; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.315; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.339; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-05-13 10:57:59.344; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-05-13 10:57:59.345; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-05-13 10:57:59.347; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-05-13 10:57:59.349; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-05-13 10:57:59.370; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-05-13 10:57:59.370; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-05-13 10:57:59.376; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-05-13 10:57:59.376; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-05-13 10:57:59.386; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@139bc4f[collection1] main
INFO  - 2016-05-13 10:57:59.396; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-05-13 10:57:59.397; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2016-05-13 10:57:59.399; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-05-13 10:57:59.410; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-05-13 10:57:59.410; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-05-13 10:57:59.411; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2016-05-13 10:57:59.412; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-05-13 10:57:59.413; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2016-05-13 10:57:59.414; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
